customer_id,gender,is_senior_citizen,partner,dependents,phone_service,internet_service,contract_type,payment_type,monthly_charges,total_charges,churn,tenure,tenure-rounded,is_female,has_churned,has_phone,has_internet,has_phone_and_internet,partner_dependents,start_date,avg_mon_charges,avg_rounded,Contract_type,Phone_service,Internet_service
0002-ORFBO,Female,0,Yes,Yes,1,1,1,Mailed check,65.6,593.3,No,9.044207317,9.04,TRUE,FALSE,TRUE,TRUE,TRUE,3,2019-11-30,65.63,65.60,1 Year,One Line,DSL
0003-MKNFE,Male,0,No,No,2,1,0,Mailed check,59.9,542.4,No,9.05509182,9.06,FALSE,FALSE,TRUE,TRUE,TRUE,0,2019-11-30,59.87,59.90,Month-to-Month,Two or More Lines,DSL
0004-TLHLJ,Male,0,No,No,1,2,0,Electronic check,73.9,280.85,Yes,3.800405954,3.8,FALSE,TRUE,TRUE,TRUE,TRUE,0,2020-05-31,73.91,73.90,Month-to-Month,One Line,Fiber Optic
0011-IGKFF,Male,1,Yes,No,1,2,0,Electronic check,98,1237.85,Yes,12.63112245,12.63,FALSE,TRUE,TRUE,TRUE,TRUE,1,2019-08-31,98.01,98.00,Month-to-Month,One Line,Fiber Optic
0013-EXCHZ,Female,1,Yes,No,1,2,0,Mailed check,83.9,267.4,Yes,3.187127533,3.19,TRUE,TRUE,TRUE,TRUE,TRUE,1,2020-05-31,83.82,83.80,Month-to-Month,One Line,Fiber Optic
0013-MHZWF,Female,0,No,Yes,1,1,0,Credit card (automatic),69.4,571.45,No,8.234149856,8.23,TRUE,FALSE,TRUE,TRUE,TRUE,2,2019-12-31,69.43,69.40,Month-to-Month,One Line,DSL
0013-SMEOE,Female,1,Yes,No,1,2,2,Bank transfer (automatic),109.7,7904.25,No,72.05332726,72.05,TRUE,FALSE,TRUE,TRUE,TRUE,1,2014-08-31,109.71,109.70,2 Year,One Line,Fiber Optic
0014-BMAQU,Male,0,Yes,No,2,2,2,Credit card (automatic),84.65,5377.8,No,63.52982871,63.53,FALSE,FALSE,TRUE,TRUE,TRUE,1,2015-05-31,84.65,84.60,2 Year,Two or More Lines,Fiber Optic
0015-UOCOJ,Female,1,No,No,1,1,0,Electronic check,48.2,340.35,No,7.06120332,7.06,TRUE,FALSE,TRUE,TRUE,TRUE,0,2020-01-31,48.21,48.20,Month-to-Month,One Line,DSL
0016-QLJIS,Female,0,Yes,Yes,2,1,2,Mailed check,90.45,5957.9,No,65.86954118,65.87,TRUE,FALSE,TRUE,TRUE,FALSE,3,2015-03-31,90.45,90.40,2 Year,Two or More Lines,DSL
0017-DINOC,Male,0,No,No,0,1,2,Credit card (automatic),45.2,2460.55,No,54.4369469,54.44,FALSE,FALSE,FALSE,TRUE,FALSE,0,2016-02-29,45.20,45.20,2 Year,No Phone Service,DSL
0017-IUDMW,Female,0,Yes,Yes,2,2,2,Credit card (automatic),116.8,8456.75,No,72.40368151,72.4,TRUE,FALSE,TRUE,TRUE,TRUE,3,2014-08-31,116.81,116.80,2 Year,Two or More Lines,Fiber Optic
0018-NYROU,Female,0,Yes,No,1,2,0,Electronic check,68.95,351.5,No,5.097897027,5.1,TRUE,FALSE,TRUE,TRUE,TRUE,1,2020-03-31,68.92,68.90,Month-to-Month,One Line,Fiber Optic
0019-EFAEP,Female,0,No,No,2,2,2,Bank transfer (automatic),101.3,7261.25,No,71.68065153,71.68,TRUE,FALSE,TRUE,TRUE,FALSE,0,2014-09-30,101.30,101.30,2 Year,Two or More Lines,Fiber Optic
0019-GFNTW,Female,0,No,No,0,1,2,Bank transfer (automatic),45.05,2560.1,No,56.82796892,56.83,TRUE,FALSE,FALSE,TRUE,FALSE,0,2015-12-31,45.05,45.00,2 Year,No Phone Service,DSL
0020-INWCK,Female,0,Yes,Yes,2,2,2,Credit card (automatic),95.75,6849.4,No,71.53420366,71.53,TRUE,FALSE,TRUE,TRUE,FALSE,3,2014-09-30,95.76,95.80,2 Year,Two or More Lines,Fiber Optic
0020-JDNXP,Female,0,Yes,Yes,0,1,1,Mailed check,61.25,1993.2,No,32.54204082,32.54,TRUE,FALSE,FALSE,TRUE,FALSE,3,2017-12-31,61.25,61.30,1 Year,No Phone Service,DSL
0021-IKXGC,Female,1,No,No,2,2,0,Electronic check,72.1,72.1,No,1,1,TRUE,FALSE,TRUE,TRUE,TRUE,0,2020-07-31,72.10,72.10,Month-to-Month,Two or More Lines,Fiber Optic
0022-TCJCI,Male,1,No,No,1,1,1,Credit card (automatic),62.7,2791.5,Yes,44.5215311,44.52,FALSE,TRUE,TRUE,TRUE,FALSE,0,2016-12-31,62.70,62.70,1 Year,One Line,DSL
0023-HGHWL,Male,1,No,No,0,1,0,Electronic check,25.1,25.1,Yes,1,1,FALSE,TRUE,FALSE,TRUE,FALSE,0,2020-07-31,25.10,25.10,Month-to-Month,No Phone Service,DSL
0023-UYUPN,Female,1,Yes,No,2,0,1,Electronic check,25.2,1306.3,No,51.83730159,51.84,TRUE,FALSE,TRUE,FALSE,TRUE,1,2016-05-31,25.20,25.20,1 Year,Two or More Lines,No Internet Service
